gene_id,SRR31476642,SRR31476643,SRR31476644,SRR31476645,SRR31476646,SRR31476647,SRR31476648,SRR31476649,SRR31476650
ENSG00000000003,1098,2136,1650,2115,1058,920,1107,1352,1502
ENSG00000000005,0,0,0,0,0,0,0,0,0
ENSG00000000419,3137,2741,2132,2593,2256,1907,2426,3881,3825
ENSG00000000457,474,423,467,443,472,378,437,588,518
ENSG00000000460,377,536,381,503,567,531,559,482,433
ENSG00000000938,0,0,0,0,0,0,0,0,0
ENSG00000000971,398,11,6,13,279,219,210,657,642
ENSG00000001036,1618,1019,924,1244,1936,1889,2197,1700,1753
ENSG00000001084,4185,1103,946,1174,1324,1234,1381,4043,3707
ENSG00000001167,606,786,687,768,764,773,828,871,813
ENSG00000001460,230,214,180,223,301,293,293,250,235
ENSG00000001461,709,722,694,875,1169,1040,1018,792,904
ENSG00000001497,1734,1074,1137,1269,1101,1105,1146,1822,2039
ENSG00000001561,316,293,216,310,494,473,492,448,449
ENSG00000001617,215,564,497,723,389,381,412,261,357
ENSG00000001626,0,4,7,5,2,4,11,6,2
ENSG00000001629,3227,3694,3323,3951,3104,2771,2848,3878,3690
ENSG00000001630,6451,7948,6578,10089,5674,4984,5741,7125,7834
ENSG00000001631,1237,1501,1233,1500,1031,952,917,1640,1444
ENSG00000002016,166,102,118,114,113,104,132,114,133
ENSG00000002079,0,1,3,1,2,4,1,0,1
ENSG00000002330,797,1052,785,1132,1101,911,1168,1090,1044
ENSG00000002549,1026,999,810,1099,1238,1245,1353,1203,1267
ENSG00000002586,1407,1139,891,1485,1417,1252,1490,1447,1558
ENSG00000002587,0,2,0,0,0,0,2,0,0
ENSG00000002726,2,3,0,4,5,2,6,1,0
ENSG00000002745,1,0,0,1,3,3,4,4,2
ENSG00000002746,25,11,3,8,40,39,25,27,17
ENSG00000002822,404,201,235,246,394,272,340,308,346
ENSG00000002834,8938,9953,10193,11541,10352,9321,10375,9598,9327
ENSG00000002919,905,487,483,510,460,428,524,961,958
ENSG00000002933,0,0,0,0,0,0,0,0,0
ENSG00000003056,4399,4059,3324,4055,4387,4256,4503,5930,6703
ENSG00000003096,709,493,380,450,1521,1149,1333,987,1030
ENSG00000003137,3,1,1,3,7,5,2,0,2
ENSG00000003147,415,148,146,189,161,198,197,389,385
ENSG00000003249,107,166,187,188,201,129,192,125,111
ENSG00000003393,1928,1444,1424,1593,1802,1669,1715,2249,2322
ENSG00000003400,263,212,165,200,297,305,355,311,366
