"count_sd","aligner","min_phred","min_length","trim_poly_g","trim_poly_x","runtime_sec","gene_overlap_percent"
3412.65188661446,"STAR",22,34,0,0,NA,97.6094286804937
3412.65188661446,"STAR",22,34,0,0,NA,97.6094286804937
3412.80288447923,"STAR",22,34,0,1,NA,97.6094286804937
3412.6612165369,"STAR",22,34,1,0,NA,97.6094286804937
3412.6612165369,"STAR",22,34,1,0,NA,97.6094286804937
3412.6612165369,"STAR",22,34,1,0,NA,97.6094286804937
3412.80237025296,"STAR",22,34,1,1,NA,97.6094286804937
3412.80237025296,"STAR",22,34,1,1,NA,97.6094286804937
3412.29079641264,"STAR",22,35,1,0,NA,97.6094286804937
3412.4237493741,"STAR",22,35,1,1,NA,97.6094286804937
2995.92746741432,"HISAT2",23,35,0,0,NA,97.6094286804937
2995.92746741432,"HISAT2",23,35,0,0,NA,97.6094286804937
2995.93549914182,"HISAT2",23,35,1,0,NA,97.6094286804937
2995.93549914182,"HISAT2",23,35,1,0,NA,97.6094286804937
2995.92937518625,"HISAT2",23,35,1,1,NA,97.6094286804937
2995.92937518625,"HISAT2",23,35,1,1,NA,97.6094286804937
2995.85331133609,"HISAT2",23,36,1,0,NA,97.6094286804937
2995.83460705088,"HISAT2",23,36,1,1,NA,97.6094286804937
2995.83460705088,"HISAT2",23,36,1,1,NA,97.6094286804937
2980.28160981956,"HISAT2",30,49,0,0,NA,97.6094286804937
